"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
0.00,2470.00,"2GQ","Cavok Air LLC",13269,"MGA","Managua, Nicaragua",14691,"SBD","San Bernardino, CA",2021,1,
0.00,2077.00,"2GQ","Cavok Air LLC",13269,"MGA","Managua, Nicaragua",14512,"RFD","Rockford, IL",2021,1,
0.00,2470.00,"2GQ","Cavok Air LLC",14691,"SBD","San Bernardino, CA",13269,"MGA","Managua, Nicaragua",2021,1,
0.00,3457.00,"KL","Klm Royal Dutch Airlines",10721,"BOS","Boston, MA",10292,"AMS","Amsterdam, Netherlands",2021,1,
0.00,4120.00,"KL","Klm Royal Dutch Airlines",13930,"ORD","Chicago, IL",10292,"AMS","Amsterdam, Netherlands",2021,1,
0.00,3457.00,"KL","Klm Royal Dutch Airlines",10292,"AMS","Amsterdam, Netherlands",10721,"BOS","Boston, MA",2021,1,
0.00,4120.00,"KL","Klm Royal Dutch Airlines",10292,"AMS","Amsterdam, Netherlands",13930,"ORD","Chicago, IL",2021,1,
0.00,6828.00,"MF","Xiamen Airlines Co., Ltd.",12892,"LAX","Los Angeles, CA",11724,"FOC","Fuzhou, China",2021,1,
0.00,6964.00,"MF","Xiamen Airlines Co., Ltd.",12892,"LAX","Los Angeles, CA",15917,"XMN","Xiamen, China",2021,1,
0.00,6828.00,"MF","Xiamen Airlines Co., Ltd.",11724,"FOC","Fuzhou, China",12892,"LAX","Los Angeles, CA",2021,1,
0.00,6964.00,"MF","Xiamen Airlines Co., Ltd.",15917,"XMN","Xiamen, China",12892,"LAX","Los Angeles, CA",2021,1,
0.00,4633.00,"MP","Martinair Holland N.V.",13303,"MIA","Miami, FL",10292,"AMS","Amsterdam, Netherlands",2021,1,
0.00,1506.00,"MP","Martinair Holland N.V.",13303,"MIA","Miami, FL",10711,"BOG","Bogota, Colombia",2021,1,
0.00,1017.00,"MP","Martinair Holland N.V.",13303,"MIA","Miami, FL",12010,"GUA","Guatemala City, Guatemala",2021,1,
0.00,1787.00,"MP","Martinair Holland N.V.",13303,"MIA","Miami, FL",15455,"UIO","Quito, Ecuador",2021,1,
0.00,4120.00,"MP","Martinair Holland N.V.",13930,"ORD","Chicago, IL",10292,"AMS","Amsterdam, Netherlands",2021,1,
0.00,4633.00,"MP","Martinair Holland N.V.",10292,"AMS","Amsterdam, Netherlands",13303,"MIA","Miami, FL",2021,1,
0.00,4120.00,"MP","Martinair Holland N.V.",10292,"AMS","Amsterdam, Netherlands",13930,"ORD","Chicago, IL",2021,1,
0.00,4118.00,"MP","Martinair Holland N.V.",14717,"SCL","Santiago, Chile",13303,"MIA","Miami, FL",2021,1,
0.00,1506.00,"MP","Martinair Holland N.V.",10711,"BOG","Bogota, Colombia",13303,"MIA","Miami, FL",2021,1,
0.00,1787.00,"MP","Martinair Holland N.V.",15455,"UIO","Quito, Ecuador",13303,"MIA","Miami, FL",2021,1,
0.00,6274.00,"JL","Japan Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",13744,"NRT","Tokyo, Japan",2021,1,
0.00,6427.00,"JL","Japan Air Lines Co. Ltd.",11298,"DFW","Dallas/Fort Worth, TX",13744,"NRT","Tokyo, Japan",2021,1,
0.00,5451.00,"JL","Japan Air Lines Co. Ltd.",13744,"NRT","Tokyo, Japan",12892,"LAX","Los Angeles, CA",2021,1,
0.00,6274.00,"JL","Japan Air Lines Co. Ltd.",13744,"NRT","Tokyo, Japan",13930,"ORD","Chicago, IL",2021,1,
0.00,6427.00,"JL","Japan Air Lines Co. Ltd.",13744,"NRT","Tokyo, Japan",11298,"DFW","Dallas/Fort Worth, TX",2021,1,
0.00,1506.00,"DHQ","DHL Aero Expresso",10711,"BOG","Bogota, Colombia",13303,"MIA","Miami, FL",2021,1,
